@relation FuncionCuadratica

@attribute distancia numeric
@attribute vCoche numeric
@attribute vBala numeric

@data
12.139841,4.180472,5
16.735966,4.194854,10
20.488644,4.196167,15
23.989712,4.184138,20
27.389585,4.181793,25
32.615421,4.194941,30
40.190166,4.191782,35
46.595016,4.180634,40
52.335552,4.194849,45
58.093185,4.196199,50
8.383034,4.183343,5
12.882205,4.182397,10
18.370298,4.194592,15
23.87742,4.19033,20
29.478466,4.180982,25
35.154316,4.194894,30
40.862453,4.196287,35
46.591347,4.182977,40
52.339939,4.183315,45
58.097755,4.194061,50
8.502706,4.188783,5
12.886724,4.181038,10
18.092934,4.194974,15
23.577888,4.195601,20
29.182518,4.182155,25
34.852585,4.183973,30
40.560081,4.194239,35
46.290989,4.187737,40
52.032829,4.181695,45
57.792736,4.194884,50
9.402113,4.195032,5
14.291097,4.181939,10
19.600132,4.192249,15
25.126553,4.19401,20
30.756121,4.186681,25
36.439293,4.182236,30
42.153732,4.194218,35
47.888073,4.193657,40
53.635685,4.181674,45
59.395531,4.194409,50
8.617413,4.19422,5
10.49472,4.185875,10
12.907531,4.182909,15
21.245409,4.194054,20
29.469257,4.192499,25
35.146545,4.182057,30
40.86121,4.19431,35
46.597069,4.194623,40
52.342213,4.184804,45
58.091759,4.183388,50
8.672378,4.193242,5
13.139476,4.191189,10
18.363472,4.182036,15
23.859421,4.194501,20
29.470808,4.194678,25
35.143021,4.184419,30
40.850033,4.18387,35
46.578049,4.192919,40
52.32383,4.190032,45
58.078579,4.182095,50
7.769261,4.194321,5
13.057797,4.19469,10
18.36923,4.183874,15
23.862162,4.184361,20
29.471174,4.192661,25
35.142788,4.189162,30
40.852772,4.182672,35
46.581402,4.194076,40
52.331921,4.194012,45
58.089386,4.183597,50
7.765496,4.18423,5
13.067616,4.192637,10
18.36754,4.187582,15
23.865192,4.183199,20
29.47551,4.194288,25
35.145405,4.193162,30
40.853855,4.183542,35
46.586212,4.194577,40
52.328995,4.19292,45
58.087112,4.186965,50
8.106379,4.183576,5
13.138545,4.193576,10
18.368961,4.19256,15
23.864923,4.183676,20
29.470877,4.195328,25
35.144733,4.192772,30
40.850456,4.186692,35
46.577736,4.1839,40
52.333622,4.193044,45
58.080921,4.191729,50
7.735377,4.183556,5
13.049962,4.195182,10
18.36549,4.193032,15
23.856426,4.18547,20
29.468599,4.184325,25
35.1394,4.192391,30
40.849346,4.190583,35
46.583672,4.18429,40
52.328682,4.195058,45
58.081223,4.193087,50
